--------------------------------------------------------------------------------------------------------
|                                     DescribeLaunchConfigurations                                     |
+-------------------------------------------------------------+------------------------+---------------+
|  profile-ui-hk-latest-config-20231127154045154              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  profile-ui-hk-latest-config-20240102071110298              |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  profile-ui-hk-latest-config-20240123071655750              |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  profile-ui-hk-latest-config-20240213071045403              |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  profile-ui-hk-latest-config-20240305073145535              |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  profile-ui-hk-latest-config-20240326073655458              |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  profile-ui-hk-load-config-20170615062615225575621dtt       |  ami-3a000e5d          |  m3.large     |
|  profile-ui-hk-prod-config-20240403080850618                |  ami-0d4b18ebb8e22b004 |  m3.large     |
|  profile-ui-hk-stage-config-20230720071737550               |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20231129073552371               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20231129113550776               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20240104071055344               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20240125071755385               |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20240215090400624               |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20240307071055172               |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20240328073800159               |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  profile-ui-hk-stage-config-20240412                        |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  profile-ui-stage-config-20161228060845160009104sjf         |  ami-08f7956f          |  t2.medium    |
|  profile-ui-stage-config-20161228092426184298334vnv         |  ami-08f7956f          |  t2.medium    |
|  profile-ui-stage-config-20170103060946867415142lu6         |  ami-08f7956f          |  t2.medium    |
|  profile-ui-stage-config-20170103063251583998965bir         |  ami-08f7956f          |  t2.medium    |
|  tap-svc-hk-latest-config-20230718073536611                 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20231127115534177                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20231127152755883                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-2024010207320476                  |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20240123072344261                 |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20240213071354121                 |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20240305071909440                 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20240326071559127                 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20240403                          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tap-svc-hk-latest-config-20240406                          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tap-svc-hk-load-config-20170615062616821773531g3s          |  ami-3a000e5d          |  m3.large     |
|  tap-svc-hk-prod-config-20240403080940545                   |  ami-0d4b18ebb8e22b004 |  m3.large     |
|  tap-svc-hk-stage-config-20230720073046415                  |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20231129072756148                  |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20231129114847713                  |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20240104073423928                  |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20240125073124176                  |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20240215090739114                  |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20240307073209166                  |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20240328071634146                  |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tap-svc-hk-stage-config-20240412                           |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20230808070731580             |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-2023112712093410              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20231127151756971             |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-202401020717199               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20240123104934358             |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20240213071049207             |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-2024030507165492              |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20240326072829245             |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20240402                      |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-latest-config-20240410                      |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20230809071621576               |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-2023112807272491                |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20231128094201592               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20240103071038925               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20240124072439163               |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20240214071349109               |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-2024030607164979                |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20240327073153891               |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-load-config-20240411                        |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-20231003080909880               |  ami-03b94da4ee1271c30 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-20231108080955781               |  ami-0a9175261a64f7733 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-202312050806218                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-20240117080614302               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-20240131080934346               |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-20240313080943997               |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-svc-hk-prod-config-20240403080919126               |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20230810072846616              |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-2023112907281122               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20231129114632235              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-2024010407164998               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20240125073514375              |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20240215085209155              |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20240307073804964              |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20240328072323879              |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-svc-hk-stage-config-20240412                       |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-20230808071031457              |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-2023112711582519               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-20231127152211613              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-20240102073928965              |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-20240123071929289              |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-20240213073754206              |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  tkt-adm-ui-hk-latest-config-20240305071644102              |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
